description;paragraph
Thoughts also have aversion associated with them;Thoughts. Often thoughts, and often future thoughts, associated with fear, and unpleasant thoughts about what's going to happen or what might happen. Thoughts associated with fear, as part of the constellation of fear, and again, their unpleasantness, the aversion to them, aversion to that. So there are the body sensations and the thoughts, and in each case there's aversion. ^4-2
Inner texture of the mind shrinks when there's fear around;Third factor, a little more subtle, with fear is the kind of climate of the mind, the inner texture of the way the mind feels. And when there's fear around, it shrinks. The mind shrinks. It gets small. You notice this with fear? The actual consciousness feels like it's constricting. That, generally speaking, is unpleasant. Human beings don't like a constricted consciousness. And so, again, it being unpleasant, there's going to be aversion to it: I want to get rid of it. I want it to go away. So there's the body, the thoughts, and the texture, the climate of the mind, and correspondingly, the aversion to that. ^4-3
We are afraid of fear, but we can be with this, which brings confidence;"These aversions are very important to investigate, because when we ask, ""What's my relationship with fear?"" - and this is a fundamental Dharma question, ""What's my relationship with _anything_?"" - usually the relationship with fear is, we're afraid of it. We're actually afraid of fear. We have fear of fear. This is part of what makes fear _fear_. It's that we're actually afraid of the fear itself. As our meditation practice, in general, develops over time, we learn to - we _can_ learn to accommodate that experience of fear: the body experience, the thinking experience, and the texture of the mind experience. We learn to just bring mindfulness to it and just to be with it. And what we get, slowly, over time, is a sense of confidence that it's just some unpleasant sensations, just some unpleasant thoughts: ""I can be with this. Awareness can hold it."" What's almost always lacking with fear is confidence. We don't feel confident that we can actually be with the fear and accommodate it, and be okay with it. With practice, bringing mindfulness to all of it, we just see: it's just that, and it's accommodatable. Confidence comes. It's hugely significant. ^4-4"
Fear of fear feeds the fire of the fear;So usually our relationship with fear is one of aversion or fleeing. We want to get away from, run away from the unpleasantness of it. But that very aversion and fleeing makes the experience of the fear increase. This fear of the fear, this aversion to the fear, is part of the whole constellation. It's part of the whole mechanism and wheel of fear. It makes it more difficult. When there are unpleasant fear sensations in the body and we flee them out of aversion, out of fear of them, where do we go? Where do we flee to? Straight up into the head! The energy goes away from the groundedness in the body and straight up into the head. There's more energy in the thinking. There are already unhelpful, unskilful, unpleasant thoughts in the thinking, looping around. You've just injected a whole lot of extra energy in there because one is fleeing. And it increases, actually feeding the whole fire of the fear. ^4-5
Fear needs me to be aversive and reactive to it;So the reaction that we have to fear is not something separate from the fear itself. They're not two separate things. The reaction is part of the anxiety itself. So you can check this out. They're not two separate things. If we can soften that reaction or take away that reaction somewhat, what we'll notice is that fear cannot support itself. It cannot support itself. So not to take this on authority just because I say it or someone else says it. See if one can experiment with this when fear is around. Fear needs me to be aversive and reactive to it. The reaction is part of the mechanism. What happens when I soften that reaction? Fear cannot support itself without me fearing it, without me reacting to it. ^5-1
Self-judgement is also fuel for the fire of fear;"Sometimes our relationship with fear is putting pressure - part of the aversion - pressure on it to be different. It's all the same: it's fuel for the fire of fear. So to be aware of these mechanisms, to see, ""Can they be relaxed? Can I soften them?"" Or judging myself - if I judge myself that fear is around, again, it's fuel for the fire. What am I assuming about myself because there's fear around? What am I assuming about my practice? That I'm a failure, that it's rubbish, that I'm not getting anywhere - just because fear is around? That's also something that we're injecting into the moment that's building the fear. ^5-2"
Fear is human;"So fear is human. Can we see the humanity of it? Can we bring kindness, again, to meet that humanity, to meet the fear? So when we say, ""May _I_ be safe and protected. May _I_ be ..."" whatever the other phrases are ... [laughter] When we say that, who is the 'I' in that moment? There's fear around. Who is the 'I'? The 'I' is me with fear. It's not me without the fear, me when the fear goes away, me and idealized fear. You could say, in that moment, you are you with fear, I am I with fear. It's included. We have a tendency - it's all part of the aversion and the almost normal reaction to fear, to want to get it away, and to even exclude that part from the _mettā_. ^5-3"
Fear of the future;"A lot of fear in our lives, in a very general sense, has to do with the future - ""What will happen to me? Will I be okay? Will it be all right? Will it turn out okay? What might go wrong?"" - on all kinds of levels. You know, basic body level, survival level, but all kinds of other levels, emotionally, in terms of security, in terms of relationships, in terms of possessions, anything, future thoughts: ""Will it be okay for me?"" ^5-4"
Do I know how to really really take care of the future;"One really, really fundamental Dharma question comes up then. Fear about the future and ""Will I be okay? How will the future be _for me_?"" Fundamental Dharma question: do I really know how to really, really, _really_ take care of the future? What does it mean to _really_ take care of the future? And so, Dharmically, what is it that leads to a sense of security, happiness, well-being, peace in our life? What is it? ^5-5"
"Cultivating beautiful qualities of the heart and mind as an ""investment portfolio""";"The Buddha, over and over again, points to cultivating qualities of heart, qualities of mind, qualities of being - like _mettā_, like compassion, etc., generosity, equanimity, mindfulness, a whole host of inner qualities that become our kind of (what's that word?) 'investment portfolio.' [laughter] If you know that term from whatever, stocks and all that stuff. Very actually rare maturity in practice, very rare maturity. Often we can just say, ""Yeah, yeah, I know, that's what I need to be happy. I know that I really need to build these qualities. I know that's where happiness comes from."" Very rare level of maturity in practice to come across someone who's actually living that out, and putting the investment in that, and not worrying _so_ much about the other stuff. And of _course_, we need to take care of material things, etc. But it's actually quite a mature practice that has come to the point when it's just convinced in the heart, in the being: ""I know where to put my eggs. I know what it is that leads to happiness and peace. I know how to take care of the future."" And you think how much fear, as well, in this respect has to do with, ""What will they think of me? What will people I'm meeting - what are they going to think? Are they going to think I'm stupid, or ugly, or boring, or whatever it is?"" How much of our fear is social fear, is around that? ^5-6"
We take care of the future by cultivating beautiful qualities;When we cultivate beautiful qualities of the heart, beautiful qualities of the mind, they bring with them happiness. And there is enough happiness, and then what people think of me becomes _almost_ insignificant. This is very real, and as I said, it's quite a rare maturity that actually lives that out in one's life, through one's practice. We take care of the future. Fear is fear of the future. How do we take care of the future? Through cultivation. Through the kind of cultivation that we're doing here, and a whole host of other qualities. ^6-1
Taking care of the relationship with the present;"And also in the relationship to the present. Is the relationship to the present one of openness, of kindness, of curiosity, of interest, of mindfulness? When the relationship to the present has those qualities in it, the future takes care of itself, just moment by moment. Those two pieces - cultivating what's beautiful, and taking care of the relationship with the present - the future is taken care of in the deepest way. And in a very real way, we come to worry less about, ""Will there be enough money later on? Will there be security? Will I be okay in terms of a house? What will happen in terms of, will I find a partner? Will my partner die? Will they stay with me? Will I be alone?"" All that stuff, not that it's not important stuff in our lives, but its hold on us, and the fear that oftentimes is around - we don't even realize it's around, running our lives, running our choices. How much of that stuff is actually dictating our choices in our life? And we don't even register it as a kind of fear. And that stuff just begins to get less because of the power of cultivating what's beautiful, over time. And this is something very real. It's not theoretical, and it's not unrealistic. It's something very, very real that can come into the being, into one's life in a very real, very practical way. ^6-2"
Fear is a kind of clinging that you can release through practice;Right, that was my tangent. [laughter] But I do feel it's important, and it's actually an aspect of clinging, and what we're talking about - releasing clinging. Fear is a kind of clinging/aversion that you can release through practice. ^6-3
Optional insight practices as a background within the metta practice;"What I want to explore in the remaining part of the talk is this way that insight practices can potentially be used as a kind of background within the _mettā_ practice. I want to offer some possibilities. Really just hear them as that: _optional_ possibilities. So for some people, this will be very interesting, very applicable, and fascinating. For other people, it will just be, ""Okay, doesn't really attract me. It doesn't seem to have much to do with me."" It's fine, but I want to put them out there. ^6-4"
There can be a sense of oneness opening up;So these are just some of the possibilities, and I think I want to go through - I think there are seven here [**(_i_)-(_vii_)** below]. I mentioned the other day, in the talk the other night, as we do the _mettā_ practice, in a very non-linear way, there can be a deepening. And there can be a sense, at times, of merging, and the heart merging with the heart of another, or a sense of oneness opening up - _can_ be, at times, for some people. When we talk about _anattā_ - and John talked the other day about _anattā_, and I touched on it - when we talk about that, it's actually not the same as oneness. It's something a little bit different. But that oneness is still really important when it comes. ^6-5
Three Characteristics;So what I want to put this in the framework of is what's called the three characteristics. Some of you may be familiar with this and some less so. The three characteristics of experience, the three characteristics of phenomena, which the Buddha talked about, and they are: ^6-6
Anicca;**(1) _Anicca_**, which means 'impermanence,' changing nature of everything that arises, disappears. All things are changing, impermanent, _anicca -_ impermanence. ^7-1
Dukkha;**(2) _Dukkha_**, which means 'unsatisfactory.' So all things, again, are not capable of bringing lasting satisfaction. They're not ultimately satisfying. They're unsatisfactory. ^7-2
Anatta;**(3)** And the last one is **_anattā_**, which means they're 'not-self.' They don't belong to me. They're not mine. They are not me. ^7-3
Some strands of tradition see this as intentionally bleak;"Now, when we first hear those, we can think, ""Well, that sounds pretty bleak. Things are impermanent, unsatisfactory, and there's no me or whatever,"" and it's just like, ""Oh, these Buddhists!"" [laughter] They're not supposed to be bleak. Unfortunately, there's a whole current in the teaching that's gone on for about 2,000 years [laughter] and it's still very alive and healthy today, that actually says: ""This _is_ bleak, and the more bleak and miserable you get from reflecting on it, the better."" [laughter] ""If you think about impermanence, and unsatisfactoriness, and this 'not-self' business, and you really feel, 'This is terrible. This is really bad news,' then you're really on the right track in your practice!"" ^7-4"
I disagree - the three characteristics are ways of looking that should bring freedom and love;I pretty much completely disagree, and I don't think that's the way the Buddha intended it or meant it. They are Ways of looking, skills in looking, that in looking bring - _should_ bring, if one's going about it the right way, _should_ bring a sense of freedom and love. They're practices, Ways of looking, lenses for looking at experience in the moment that _should_ bring with them freedom and love. And if they're not, if they don't, it means one needs to play with it, tinker with it, until one learns to contemplate that way, contemplate one of the three characteristics, or all of them, in ways that actually bring freedom and love. So it is unfortunate there is this - well, quite a number of strands in the traditions that really feel that one should have a kind of existential angst, or trembling, or fear, or misery, or depression, or kind of _blah_, or whatever. [laughter] ^7-5
It's not just a cultural thing, but comes from the commentaries;**Rob**: Is it a cultural thing? No, it's not. Thank you for saying that. It's not just a cultural thing. It goes back to early commentaries, in fact, early commentaries from about five hundred years after the time of the Buddha's death, and probably they were around even quite soon after the Buddha died, and it took root there. It may be exacerbated by cultural aspects, yeah, certainly, but it's not just cultural. ^7-10
One can bring insight into the metta practice in ways that are very beautiful;Anyway, so these three characteristics, what I want to go into, this is just a framework for what I'm talking about, these possibilities which may or may not be interesting to you. And if they're not, that's really fine. And one can keep doing the basic practices - absolutely fine. But also want to put out there a sense of how deep these practices of love and compassion can actually go. They're almost - not infinite, but an incredible depth of refinement and subtlety that can come into this practice. And one can just deepen them and bring insight and understanding into that in ways that are very beautiful. It will be attractive to some people. It will seem to fit in with one's previous practice for some people, and less so for others. But I just want to lay it out as a sense of possibility for people. ^7-11
(1) Anicca, impermanence;Anicca, impermanence] **(1)** So the first one is this **_anicca_, impermanence**. ^8-1
a) Remembering death and the unpredicatibility of life;"**(_i_)** At one level, what the Buddha meant, what he talked about, is **remembering death - remembering death and the unpredictability of life**. So we can be doing the _mettā_ practice, and one's directing, attempting to direct the _mettā_ towards another being and just holding, in the background of awareness, just a light reflection on the fact of their mortality: ""They will die. Like all of us, they will die."" Now, remember, as I just said, it shouldn't be bleak. It shouldn't be depressing, so only to use this if it feels like it's actually unlocking some love and compassion in the heart. If one introduces it and it just feels like, ""Ugh, gosh,"" a terrible fear, or morbidity or a paralysis comes in, leave it. But you may find that just giving the _mettā_ to the benefactor, giving the _mettā_ to the neutral person, whoever it is, difficult person, and one just reflects, ""They are subject to death. They are subject to death."" Very likely, they don't know _when_ they're going to die. Not just death, but they're also subject to the whole range of what this word _anicca_ means: uncertainty, change. And our life involves an incredible amount of uncertainty and change. That's the nature, that's the fabric of our existence. And they, like us, are subject to that. So just holding this lightly, this sense of _anicca_ that they are vulnerable to, holding that in the awareness very lightly, as one's doing the _mettā_, can either kick-start the _mettā_ when it feels like it's a little bit blocked or it can't really get off the ground, or deepen it at times when it already feels like it's going. ^8-2"
b) Having a sense of one's life as a tiny span in the vastness of time and space;**(_ii_)** There are a few more with this, just within this realm of impermanence. Another one in relation to death, and it's actually more subtle and perhaps more difficult for people. I'm not sure. Practising - again, all this is practice - **practising learning to see _this moment_ in the context of our death**. So I'll explain what I mean. Science, cosmology, tells us that the universe is 13.7 billion years old - pretty old - and that it will last as least as long. Actually, its future is a little bit uncertain, but ... [laughter] It's either going to collapse back again after about the same amount of time, or keep going, don't know - long, long stretches of time. Our life within that is what? Fifty, seventy, ninety, a hundred years, if one's lucky. And there's a sense - you can practise with, you can play with this sometimes - having a sense of one's life and the lives of others being a very small, a _tiny_ span in the vastness of time, and a vastness of space. And if possible, you can even bring that into the moment. ^8-3
Put the moment of perception into context of the unknown;So right now, right now, in this moment, there is a moment of experience going on. [snaps fingers] What's happening? There's visual form, there's colour, there's sound, there's sight, there's a moment of perception - and it's almost like putting that in the context of this incredible vastness of time. We don't know what came before our life. We don't know what comes after, no matter what all the theories, including the Buddhist theories, say. There's _this moment_ in the context of a massive, almost unfathomably unthinkable unknown. And you can toy with this playing of perception. Something comes: this moment, death, and vastness. And again, instead of unlocking fear, sometimes it can unlock more love. So, things you can play with. ^8-4
c) moment-to-moment impermanence;**(_iii_)** What's most common when we talk about - or in the tradition, when people talk about impermanence and the contemplation of impermanence, is **trying to look, in the moment, at quite a rapid, moment-to-moment impermanence of phenomena**. So every moment, there's something new. Every moment, a thought arises, a moment, a sound, a this, a that. And then when we pay attention to our experience, we see phenomena arising, passing quite rapidly. Now, one approach within that - and remember, we're putting these insight Ways of looking in the context of our _mettā_ practice - sometimes you're doing the _mettā_, and you can just open the awareness up a little bit more to this impermanence. These are just possibilities. ^8-5
All I see in the moment is change, not a lasting, fixed self;"And one notices, all I see in the moment is change. There's just a moment of this [snaps fingers], a moment of that [snaps fingers], a moment - I can't find anything in there that's 'me.' So this is the way impermanence feeds into an understanding of _anattā_ and not-self. The sense of self that one has, almost normally, the natural sense of self is that it's lasting and solid and fixed: ""I am the same self I was twenty years ago, and thirty years ago, and I will be, if I'm still alive, in ten, twenty years."" We have a sense of a fixed, independent, solid, lasting self. But when I look closely at my experience, what I notice is change, change, change. There's nothing I can find that I can point to and say, ""Well, _that's_ what my lasting, fixed self is."" All I see is change, and the question is, ""_Where_ am I? Who am I?"" And when I look at the impermanence of the Present moment, there's a way that the sense of self can become much more permeable, less solid. All I'm noticing is just moments of change. I can't find this solid self. And there's the possibility, in the context of _mettā_ practice, to open up that way. ^9-1"
Less self, less other self to give the love to, can deepen the love;"And what _can_ happen, again, instead of fear and anxiety and all that, is it deepens the love. It can deepen or kick-start the love - this sense of, ""Actually, I can't find anything here that's permanent."" Now, you could also contemplate another person, and contemplate, ""There's nothing to find _there_ that's permanent."" And this is where it starts to get a little strange, because we tend to think of love being between self and other. And as we go into the nature of the self, we find less and less of one. We find less and less solidity. And in that very moment of finding less solidity, instead of the whole love crumbling because we feel, ""Well, who's giving love to whom?"" [laughter] If I don't find anything here - I don't find any object to give it to - the opposite can happen. And almost paradoxically, there's a deepening of the love. Less self, less _other_ self to give the love to, and somehow, there's a deepening of the quality of the love - _can_ be. Remember, all this is just actually very rapidly painting a whole range of possibilities. That was three, with the impermanence. ^9-2"
d) In all the change, all what I can find are perceptions;**(_iv_)** There's another one, and this is really quite subtle, this one. So I'm not going in any particular order of difficult or subtle or whatever, but ... point to it. It kind of follows on from the one I just said. If I look at my experience in insight meditation, or even broadening my awareness in the _mettā_ practice - I'm doing the _mettā_ practice, but I just open it up a little bit - and again, what do I see? Change, change, change, change, change. Can't find anything that's not changing. What do I find, though, when I look, and I look for myself? All I see, all I can find, are perceptions. ^9-3
Those perceptions are not separate from the universe, from the world;That's all I can find: perception of carpet, perception of microphone, perception of Julie, perception of person, perception of sound, perception of body, perception of emotion - all I find in my experience is a series of perceptions. When I look inside, that's all I can find. Can't find anything that's not a perception. It's not possible. Can't find anything that's not a perception. A perception needs the world. So, to perceive the carpet, I need for that to be there. **All I find when I look for myself are perceptions, and those perceptions are not separate from the universe, from the world**. We tend to think of the self as something separate and independent. When I look for it, all I find are perceptions, which are actually inseparable from the rest of the universe. They are inseparable. This is quite a subtle point. It's not an easy point either to understand or to work with in meditation, but I want to mention it. I find nothing but perceptions, and they are inseparable, and in a way, it's seeing - it's a way that this impermanence can lead to an understanding of emptiness. Can't find a separate self. And again, can't find a giver of the love or a receiver of the love and yet, in that, it deepens the love. ^9-4
Four possibilities in the realm of impermanence;"So that was, I think, four possibilities in the realm of impermanence. I'm just putting like a buffet out there that you can choose from if you want. [laughter] And I'm very aware, some of this will attract your attention; it _may_ not be right on this retreat to explore it. But some of you will be attracted and say, ""Some other time, I'd like to explore some of this."" And just to know what's available, what is a possibility. So there's impermanence. ^10-1"
(2) dukkha, unsatisfactoriness, suffering;**(2)** Second characteristic: **_dukkha_, this unsatisfactoriness, or 'suffering'** is another way. ^10-2
e) Just to realize: suffering is part of life - we are all in the same boat;"**(_v_)** So now this one is back to a relatively simple way of going about things. Just to realize: suffering is part of life. Okay? Suffering comes into everyone's life, in all kinds of ways and all kinds of levels. This is just a fact of our existence. First Noble Truth, Buddha said: ""There is suffering, _dukkha_."" There is suffering, and a whole range of it and a whole breadth of it. And sometimes we're doing the _mettā_ - and later on, all this applies to compassion practice as well, and we'll move on to compassion next week - **one is doing the _mettā_ practice, and just to drop in, directing it to someone else, just to drop in, ""We are all in the same boat. We are all in the same boat with suffering.""** So, this body experiences suffering. That body, this body, experiences suffering, experiences pain, experiences discomfort, experiences illness at times, will experience death. Some of these blend into each other. But just to reflect - you can just drop this in or have it as a light background to help the _mettā_, or kick-start the _mettā_: ""We're all in the same boat. We all share these encounters with suffering in our life. We all meet suffering in all kinds of ways - through the difficulties we have in relationship, and circumstance, and life, and experience, internally in the body and the mind."" To bring that in as ways of feeding, deepening, injecting some life sometimes into the _mettā_ practice. So we're all in the same boat. (It's not a great phrase, but you know what I mean.) ^10-3"
f) feel energetically the opening and closing of the heart centre;"**(_vi_)** Second one, still in the realm of this characteristic of _dukkha_: If, at some point, either on this retreat or another retreat, if you **just lightly put your attention in the chest area - in the heart centre, the heart chakra, whatever you want to call it - you just lightly keep the attention there, and you notice how it opens and closes.** The actual sense, energetically, or even subtly physically, of the heart, heart centre, opens and closes. And it _will_ open and close many times in a day, countless times in our life. Opens and closes. **If you just have a light attention and interest there to when it's open and when it's closed, the heart centre, what you notice is: when there's clinging, guess what? [laughs] Closed, no entry! When we release clinging, the heart centre opens.** Now, you can actually feel this. This is, again, why I keep going on about the sensitivity to the body. You can actually feel this: the heart centre opening and closing. It may not be that dramatic, so we may not be talking about colossal differences of opening and closing, but just little movements, and notice the relationship with clinging. Why did the Buddha go on and on and on and on about clinging? Clinging brings suffering. Clinging closes the heart. Releasing clinging brings freedom; it also brings love. And we can notice this so we're crystal clear about it, and there's just no arguing about it. It's very, very clear to us. We feel it in the heart and in the body. ^10-4"
We can develop our capacity to become sensitive to when there's clinging around;Now, the good news is, part of the good news is that we can learn to become sensitive to this movement, to notice when there's clinging. By 'clinging,' I mean pushing away what we don't like, over-identifying with things, trying to hold on to things, to grasp at things - all that is clinging. And we can begin to feel that and see this relationship, as I said, with the heart. And that when we release the clinging, the heart opens and love comes. And we can develop over time - it's a gradual process - but we can develop our capacity to become sensitive to when there's clinging around. ^11-1
Clinging has an enormous range to it;"So sometimes clinging is extremely obvious. You know, we're literally hanging on to someone's leg: ""Don't go! Don't leave me! Don't _leave_ me!"" [laughter] This is very obvious. Or, you know, ""If you go, I'm going to jump out of the window"" or whatever. [laughter] It's obvious that clinging is there. But clinging has an enormous range to it. Again, like all these Dharma questions, it gets extremely subtle, extremely subtle. Part of the good news is that we can develop the subtlety of our sensitivity and be more and more aware of when clinging is there. ^11-2"
