description;paragraph
"""Send them metta""";"And so I would walk around my otherwise very nice neighbourhood, and enjoying the greenery and everything, but actually fuming at seeing all these SUVs, and really getting quite bothered by it. I went to my teacher, and I explained what was going on, and she said - my teacher Narayan, she said, ""Give them, send them mettā."" And then she said, ""And not only that, wish them _more_ SUVs."" [laughter] So I was like, ""Hoo. Okay."" So I left, and I could do the first part, I did the mettā, but I could not wish them more SUVs. It just seemed really not helpful. [laughter] ^6-3"
Ignorance does not belong to anyone;But what I think happened, something at a certain point shifted. Maybe it was from the mettā. And I began to see: most of these people were very nice. They were caring, considerate, friendly, etc. They just did not understand. They didn't understand. They just didn't see. They were uninformed. They just didn't make the connection. They were ignorant. One use of the word 'ignorance.' But that, I think what happened with the mettā softening it was, seeing that instead of _them_ being ignorant, I was seeing ignorance does not belong to anyone. Many instances when _I_ was ignorant, I _am_ ignorant, of course. And it's like, ignorance is part of the human condition. And instead of belonging to them, it was just like, there is ignorance, and it doesn't belong to self. And somehow in that, there was the ability to be more soft with it, and the compassion could arise. I still thought that the SUVs were really a huge shame, and then, of course, you know, September 11th happened, and people not really even seeing the connection between the oil in the Gulf and all that stuff, but anyway. ^6-4
There's a difference between 'judgement' and 'discernment';"There's a difference - I don't know if this corresponds to dictionary definitions, but what I would call 'judgment' and 'discernment.' And the Buddha talks a lot about discernment. Discernment meaning, what is it that's leading towards suffering? What is it that's leading towards the well-being of self and other? To me, you know, American - well, the world now; it's the same in London - all those SUVs, it's actually not leading to freedom from suffering. It's not helpful. Judgment would be when the self has wrapped itself around that discernment, and says, ""You"" or ""I,"" ""_I'm_ different. _You're_ doing this."" Self is wrapped around the discernment, and it's come to be a thing about self, rather than just a thing about discerning what leads to suffering and what doesn't. So there can be discernment and still compassion, and that's really important. ^6-5"
Counter the anger by 'remaining percipient of the beautiful';"And so the third thing, when there's anger - (1) understanding the causes and conditions, the dependent origination; (2) seeing that ignorance doesn't belong to self, that ignorance is just ignorance; (3) third thing, what the Buddha calls - it sounds a little strange - remaining percipient of the beautiful. Which means, basically, when we see difficult stuff going on, or someone acting to create suffering, we're drawn into that, and that becomes all we see. I wandered around my otherwise very nice neighbourhood; all I saw was SUVs. [laughs] The mind gets sucked into that kind of perception. 'Remain percipient' means find something in this person that's actually noble, lovely, of good intention, something to balance the lopsidedness of the view. ^7-1"
When feeling the pain of anger coming in, remember to give compassion to yourself;Okay, so there's fear, there's anger. Oh, and actually, one more thing: when the compassion has gone off into righteous anger or we feel that kind of anger come in, it's actually painful for us. So sometimes this might happen in the course of your practice, if you're giving compassion to the difficult person. To take a moment and just give the compassion to oneself, recognizing there's some pain there. If I'm involved in judgment, if I'm involved in blame, in anger, in all that, my heart is burning, my heart is contracted and painful. Just to take a moment, and turn round, and feel that pain, and touch it with compassion to oneself, and then to go out again. ^7-2
Compassion wants to alleviate suffering, but not by pushing it away out of aversion;"So it's important that aversion doesn't come into the compassion too much. Compassion wants to alleviate suffering, but it's not that it wants to push it away out of aversion - and there really _is_ a difference, and to feel in our practice and our lives the difference between those two. Compassion is not pushing away out of aversion; rather, it's almost compassion _holds_ suffering, it holds suffering, and then adds healing and understanding. So it's something quite different. ^7-3"
Pity is a stance of looking down;"Okay, so there's fear, as these near enemies, fear, anger, pity. Pity. And again, this can be, this can look, very similar, but you can feel it in the practice. You can actually feel it and see if you can play with it. Pity towards others is when we're looking down at them: ""Oh, poor you, down there suffering, worldling!"" [laughter] It creeps in, and sometimes in very subtle ways, you know: ""Oh, that's not the sort of suffering _I_ get involved in"" or whatever. Sometimes it's barely a thought, but there's just a stance of kind of looking down. ^7-4"
Self-pity is disempowering;You can see it also, interestingly, in ourselves. We can somehow get into self-pity, and that's quite common. Maybe it's when we're comparing our state of suffering with others, and we're sort of down. But to see that self-pity is something _disempowering_. Compassion is something that's actually energizing and healing, and moves towards the alleviation of suffering. Self-pity will just keep it cycling. It's disempowering. It actually _keeps_ suffering there. Compassion to self and other is empowering and not debilitating. So in the practice, you can see: when has pity crept in, and is there some way I can equalize things again? ^7-5
Common denominator of the 4 near enemies: too much self-view in the mix;All the near enemies, what they have in common is that there's too much self-view in the mix at that time. Whether it's anger or fear or pity, whatever, there's too much self, either my self or your self, their self. Too much selfing is going on. There's too much of that in the picture. Can we remedy that by beginning to see the commonality? See the commonality of suffering, of ignorance, of whatever it is. And so this happens as we're meditating, and sometimes we just need to make a little shift, see what's common, and it can help. So suffering is suffering, and it's something that we all have. And delusion is delusion, and it's something that we all have. ^7-6
Grief is complicated, because it may be necessary but can also be draining;"Last one is a little bit more complicated: grief. If there's too much grief comes into the compassion practice - and it's quite common - we can feel overwhelmed. We can really feel tired and burdened, and the practice can become tiring and debilitating. It's a little bit complicated, because sometimes we touch on things and it's necessary to feel the grief and to kind of release grief. However, maybe just to add, sometimes to look into: how does grief sometimes spiral and feed itself? So grief, even if it's a very real and necessary grief, we actually feel quite tired afterwards; even if it's very real, I need to release this, there's a kind of tiredness to it. That low physical energy can then actually set up the conditions for more grief, and it can just keep going like that, because the physical energy has sunk. So just something to be aware of when we're working with grief. Some of it may be really necessary. Sometimes it might just be spiralling in an unnecessary way. For the practice of compassion, we don't want to be too much over in the grief all the time. For some, it's going to be inevitable and it's actually a beautiful thing, that the heart is touched by that. But you want it to be balanced. ^8-1"
If there's too much sadness we feel, we will get tired and feel burdened;That aspect of balance, we did talk about it the other day, and I'll just mention it again briefly, because it's really important. As we open to the suffering, there's the empathy, there's the trembling of the heart, the quivering of the heart, the sorrow that we feel at that suffering in the world, the sadness that we feel. That's natural. If there's too much of that, we _will_ get tired and feel burdened, if we emphasize that too much in practice. ^8-2
Find a dynamic balance, with well-being and happiness;"So we can be aware, as the practice is going on, of where the balance is. And you can just lean over a little bit more to feeling the energy that's more going out to heal, to soothe, to comfort. That has a kind of brightness to it. It has a kind of healing quality that's touching ourselves on its way out. And it will give the awareness, the heart, some buoyancy and some sense of well-being and happiness. And it's really, really necessary. So that the practice of compassion can be really sustainable. It doesn't feel like, ""Ugh. I'm exhausted now. Can we move on to the next brahmavihāra?"" It actually feels like one could just keep going with compassion, because it feels very lovely. And one can keep leaning the mind into feeling that loveliness, that nourishment of that, and feeling it in the body as well. This is really, really important. And it's not a fixed point of balance that we find; it's always going to be moving. But it's something that we can be responsive to. ^8-3"
Spaciousness is holding whatever suffering arises;As the practice of compassion deepens - so we're working with this balance, and we're healing, we're sensitive to suffering, and we're radiating out the healing - as it deepens, sometimes there's a possibility it deepens to, in a way, a third aspect. Not just the empathizing and the giving out, but a third aspect of what I would call 'spaciousness,' or 'equanimity' comes in, or a kind of 'holding' comes in. Sometimes it can be there really is a sense of space [that] opens up in the practice of compassion. And it's almost as if that space - the space of compassion, or could call it the space of awareness, or just the space of the universe, whatever you want to call it - somehow feels like it effortlessly and organically holds whatever suffering arises. The space feels like it's infinitely vast, and it's just there, just present. All the suffering that has arisen, that ever has arisen, all the suffering that ever will arise, all the suffering that is, is accommodated in that space. ^8-4
Less doing, more allowing compassion takes away from the sense of burden that we have;And at this point, if the practice - and again, not to grasp at any of this - but if the practice deepens to that level, it's kind of like the self has gone out of it at that point. It no longer feels like I'm sitting here _doing_ the compassion practice, I'm _giving_ the compassion, the self is cranking it and out comes the compassion. It's more like there's a sitting back and allowing the space to hold the suffering, effortlessly. And that too, of course, takes away from the sense of burden - I mean, _radically_ takes away from the sense of burden that we have, or overwhelm or tiredness. It's not the self doing it. It's not even the self holding it. ^9-1
"""Love is without beginning""";"And we could say, you know, some people _do_ say, the true nature of the heart, the true nature of awareness, the true nature of the heart, is infinitely vast. We can begin to get a sense of that sometimes. Or it can feel like it's actually a quality of the universe. It's somehow woven into the fabric of space, of the cosmos. It's there. And sometimes people want to talk then in the language of God. It makes complete sense, and absolutely, why not? It feels quite appropriate. Again, it's just words, but. Or in the language of the energy of a bodhisattva permeating the universe, the energy of Avalokiteśvara, the bodhisattva of compassion, or Jesus or whatever, just permeating the universe. In the Christian tradition, they talk about the cosmic Christ. And one Christian mystic, Julian of Norwich said, ""Love is without beginning."" And sometimes the practice can just, by itself, just open up to that other space. It's a possibility. Again, not to grasp at any of this. ^9-2"
When there's metta and compassion for oneself, the ego can take its rightful place in the scheme of things;"Okay, now the other morning, I talked briefly about compassion to oneself. And again, just reflecting how common it is for us to feel, ""Well, there's so much suffering in the world, and I really don't suffer much compared to - I open the newspaper, and I see what's going on wherever it is, in Sudan or wherever."" But it's hugely important to give the compassion to oneself, and it's not building ego. You might think, ""Well, I'm spending all this time giving to myself. Isn't that just pumping up my ego in some way?"" Ego gets pumped up through the _wrong_ kind of attention to oneself, actually through _lack_ of self-love. When there's the lack of self-love, then the ego has to go out and make itself big in the world, and make itself this or that. When there's mettā and compassion for oneself, the ego can just take its rightful place in the scheme of things. And it's tremendously healing, just that simplicity of the compassion practice to ourself. How healing that is to bathe ourselves, our lives, our bodies, our minds, in compassion. ^9-3"
Cultivating a climate of compassion;"And then, as I mentioned briefly the other day, and just to mention them briefly, possibilities of other, sort of more _insight_ openings through compassion to oneself. When we're doing the compassion to oneself, and there's not a particularly strong suffering there - so not when there's really a lot of something difficult going on; one's just going about in one's usual, humdrum meditative day. [laughter] And there's nothing particularly dramatic going on. I'm in the here and now, giving compassion to myself, and I'm just not too absorbed in the feeling of compassion. So it's _there_, maybe, or just the phrases are there, or whatever, but there's a little bit more wideness to include what I see, and the sounds, and what I'm feeling emotionally, and the thoughts and the body sensations. Just a little bit more wideness. There's a climate of compassion, and some degree of samādhi, which may mean that the phrases have got very sparse, or not using the phrases, or it's just one word or whatever. ^9-4"
Looking at the present experience, through the lens of seeing suffering and the end of suffering;"In that climate of compassion, with a little bit more broad awareness, it's like a lens of looking at the Present moment, the present experience, through the lens of seeing suffering and the end of suffering, in the moment. So we begin to see little sufferings, little ways that we're creating suffering. And organically somehow, because of the compassion practice, we can just unhook. It just unhooks. _We_ don't really need to do it; it's just organically unhooked. You _may_ find this. You may find it. ^9-5"
We feel the contraction in the climate of compassion;"We become conscious of what we're clinging to in the moment. And it could be, ""Oh, when is this walking period going to end?"" It could be we actually feel ourselves, the consciousness, move out of the here and now, and we feel with it the kind of contraction and the subtle suffering of that, in the climate of compassion, in the awareness. And it just, ""May you be free."" And we realize where the freedom is. It's _not_ from moving out of the here and now. And we let go of that impulse. Or we may just realize the heart is closed down a bit, and that's not where the freedom is, that's not where the healing is. And it's almost like we're not really thinking about it. It's just happening. And the heart can open again when we see it. There can be a natural letting go there. Or something we're grasping at, or we're aware of how we're building things with the self-story. So there's actually some suffering, and then we're piling on, you know, decades of history and decades of future, and mother and father and grandparents and everything. It's all piled on there, and suddenly we've got this huge conglomerate of suffering. And we're actually seeing that in the moment: ""Oh, this is what I'm doing."" And I'm saying, ""May you be free,"" and we see the freedom is actually just to let go of that, and just to be with the pain - which is probably considerably less than this whole mass of built-up stuff. ^10-1"
Giving compassion to oneself can consolidate any insight practice;"But it could be any level of insight. So, you know, it could be one's been working with emptiness a lot, and one sees: ""Oh, I've just, I've moved back into making things seem really real. I'm out of the emptiness."" Or ""I'm giving things solidity in time."" Whatever it is. Doesn't matter. This way of practising can have a way of, I feel, kind of consolidating whatever insight feels fresh. So we feel like, you know, you're on retreat, and I'm understanding this or that about how suffering gets created, and this way of practising can actually keep it being used, keep it active, keep it fresh, consolidate it. ^10-2"
Seeing mind moments of experience;"So that's one possibility, and you don't have to go anywhere near that if you don't feel like it, but I'm just putting it out there. And the second one that I mentioned the other day was also: compassion to self, there's some degree of calming that happens, and in the calmness there's a little more sense of just inner space. And I begin to see - don't even ask - ""Who is this self I'm giving the compassion to?"" And I just see mind moments of experience. A moment of an emotion, a moment of a thought, a moment of a sight, a moment of a feeling, a moment of whatever it is - suffering, a moment of ease. That's all I can find, mind moments. I actually can't find anything else. ^10-3"
Giving compassion to mind moments;"And so the compassion practice, as it calms, can begin to feel like I'm just actually giving compassion to these mind moments. There's nothing else there. There's a mind moment, and it's being touched with compassion. So this really does begin to free up the sense of self, and free up the compassion with it. Less sense of self, more compassion. And then we can take that level of insight and actually do it the same with others. I see there's nothing _here_ but mind moments, nothing _there_ but mind moments. We give compassion to someone else and, again, the calming, we see: ""I'm just giving compassion to their mind moments"" - in a way, their _ownerless_ mind moments. There's no owner. They're just mind moments arising. Can give a real sense of softness and space, and emptiness, too, in the practice. This is bringing the anattā in. ^10-4"
My suffering is not different than the suffering of others;So like I said, these are just two options, and really not to worry if they're not - if you're not including them, they're just options. Really not a big deal. Sometimes when we are suffering - in fact, a lot of the time - we tend to regard it as _my_ suffering. _My_ loneliness, _my_ heartache, _my_ tummy ache, _my_ confusion, _my_ grief, _my_ sadness, _my_ loss, _my_, _my._ And although we know it intellectually, we actually lose sight in the moment that my suffering is not different than the suffering of others. It's really not different. ^10-5
When we see the humanity of the suffering, compassion for ourselves can begin to come in;"So I remember being in a class with my teacher, and one of the exercises we had as a homework one week was: whenever suffering comes up, especially in meditation, seeing if you can reflect for a moment, ""Someone somewhere is either going through this exact same thing right now or has."" And actually bring that as a conscious reflection into the being with the suffering. Can have quite a strong effect. When we begin to see the humanity - our suffering kind of is human suffering - it can begin to soften, it can begin to open, and compassion for ourselves can begin to come in. Oftentimes with our own suffering, we're actually adding to the suffering by sort of adding an extra layer of isolation, and we don't even realize that we're doing it. We're just contracted around _my suffering_ and we don't realize the commonality, and we've added that extra layer of isolation. ^11-1"
